평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000002,2050147004,경상북도교육청 영일도서관,경북,포항시,94974,4,2784,109479,62280
2023,LIBTYPE000002,2050147024,경상북도교육청 예천도서관,경북,예천군,60445,4,6881,22762,81000
2023,LIBTYPE000002,2050147008,경상북도교육청 외동도서관,경북,경주시,89792,4,1400,41268,48650
2023,LIBTYPE000002,2050147027,경상북도교육청 울릉도서관,경북,울릉군,85337,2,393,13805,51000
2023,LIBTYPE000002,2050147026,경상북도교육청 울진도서관,경북,울진군,97298,4,1413,47485,67140
2023,LIBTYPE000002,2050147016,경상북도교육청 의성도서관,경북,의성군,93370,6,1217,35121,70380
2023,LIBTYPE000002,2050147006,경상북도교육청 점촌도서관,경북,문경시,66364,6,1239,43205,68000
2023,LIBTYPE000002,2050147020,경상북도교육청 청도도서관,경북,청도군,94086,7,2089,61229,65999
2023,LIBTYPE000002,2050147017,경상북도교육청 청송도서관,경북,청송군,79459,4,693,23874,56174
2023,LIBTYPE000002,2050147022,경상북도교육청 칠곡도서관,경북,칠곡군,59939,4,1346,47910,58538
2023,LIBTYPE000002,2050145014,군산교육문화회관 대야분관,전북,군산시,43084,3,1655,6175,27840
2023,LIBTYPE000002,2050145007,김제교육문화회관 금산분관,전북,김제시,52822,2,191,4079,18000
2023,LIBTYPE000002,2060141157,남양주시 진접푸른숲도서관,경기,남양주시,100829,4,10530,158002,80105
2023,LIBTYPE000002,2050145013,남원교육문화회관 운봉분관,전북,남원시,59574,3,256,5721,24000
2023,LIBTYPE000002,2050145002,익산교육문화회관 함열분관,전북,익산시,85440,3,568,9721,40000
2023,LIBTYPE000002,2060123025,인천광역시 영종하늘도서관,인천,중구,89371,4,10331,222994,153890
2023,LIBTYPE000002,2060123024,인천광역시 청라국제도서관,인천,서구,93560,3.5,79393,219998,127198
2023,LIBTYPE000002,2060123026,인천광역시 청라호수도서관,인천,서구,111533,5,14573,280163,139947
2023,LIBTYPE000002,2060149013,제주특별자치도 한라도서관,제주,제주시,322119,10,121193,442225,241103
2023,LIBTYPE000002,2060111054,강남구립 역삼푸른솔 도서관,서울,강남구,41750,4,12485,63203,47739
2023,LIBTYPE000002,2060121022,부산광역시 남구 분포도서관,부산,남구,76215,4,9485,203757,131481
2023,LIBTYPE000002,2060111017,서대문구립이진아기념도서관,서울,서대문구,182191,13,10357,181188,202814
2023,LIBTYPE000002,2050111001,서울특별시교육청강남도서관,서울,강남구,148109,14,7583,153554,157499
2023,LIBTYPE000002,2050111002,서울특별시교육청강동도서관,서울,강동구,174708,15,9593,204423,176503
2023,LIBTYPE000002,2050111003,서울특별시교육청강서도서관,서울,강서구,226698,18,8994,238012,216752
2023,LIBTYPE000002,2050111004,서울특별시교육청개포도서관,서울,강남구,134945,16,12275,247583,146037
2023,LIBTYPE000002,2050111005,서울특별시교육청고척도서관,서울,구로구,222850,17,68922,257325,202500
2023,LIBTYPE000002,2050111006,서울특별시교육청구로도서관,서울,구로구,161277,14,10172,200509,170247
2023,LIBTYPE000002,2050111007,서울특별시교육청남산도서관,서울,용산구,503694,31,14618,238821,266083
2023,LIBTYPE000002,2050111008,서울특별시교육청도봉도서관,서울,도봉구,223339,16,8217,176631,184261
2023,LIBTYPE000002,2050111010,서울특별시교육청동작도서관,서울,동작구,105387,14,12025,276558,178346
2023,LIBTYPE000002,2050111012,서울특별시교육청송파도서관,서울,송파구,243784,22,26940,574154,240767
2023,LIBTYPE000002,2050111013,서울특별시교육청양천도서관,서울,양천구,298880,21,23638,476719,238826
2023,LIBTYPE000002,2050111014,서울특별시교육청용산도서관,서울,용산구,278958,18,75767,179589,211168
2023,LIBTYPE000002,2050111015,서울특별시교육청정독도서관,서울,종로구,500903,37,85146,170516,279429
2023,LIBTYPE000002,2050111016,서울특별시교육청종로도서관,서울,종로구,258322,17,7636,122917,197428
2023,LIBTYPE000002,2060145007,익산시립도서관(영등도서관),전북,익산시,177054,8,33852,108834,91122
2023,LIBTYPE000002,2050123007,인천광역시교육청계양도서관,인천,계양구,212437,12,12362,199052,205414
2023,LIBTYPE000002,2050123003,인천광역시교육청부평도서관,인천,부평구,237030,12,9816,169431,190000
2023,LIBTYPE000002,2050123001,인천광역시교육청북구도서관,인천,부평구,299704,15,17890,308932,540020
2023,LIBTYPE000002,2050123006,인천광역시교육청서구도서관,인천,서구,254805,13,9574,203734,218700
2023,LIBTYPE000002,2050123008,인천광역시교육청연수도서관,인천,연수구,268954,12,37018,127427,199000
2023,LIBTYPE000002,2050123004,인천광역시교육청주안도서관,인천,미추홀구,239796,13,9094,128224,200000
2023,LIBTYPE000002,2050123002,인천광역시교육청중앙도서관,인천,남동구,298596,16,15790,249130,236154
